movie_title,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
A Bug's Life,20-Nov-98,Adventure,G,162798565.00,288981698.00
Enemy of the State,20-Nov-98,Action,R,111549836.00,198472008.00
Rushmore,11-Dec-98,Black Comedy,R,17105219.00,28392518.00
A Civil Action,25-Dec-98,Drama,PG-13,56709981.00,94139530.00
Mighty Joe Young,25-Dec-98,Adventure,PG,50632037.00,87906042.00
My Favorite Martian,12-Feb-99,Comedy,PG,36850101.00,61150849.00
The Other Sister,26-Feb-99,Romantic Comedy,PG-13,27807627.00,46145331.00
Doug's 1st Movie,26-Mar-99,Adventure,G,19421271.00,32228598.00
Ten Things I Hate About You,31-Mar-99,Romantic Comedy,PG-13,38177966.00,63354375.00
Endurance,14-May-99,,PG,229128.00,380218.00
Instinct,4-Jun-99,Drama,R,34105207.00,56595842.00
Tarzan,16-Jun-99,Adventure,G,171091819.00,283900254.00
Summer of Sam,2-Jul-99,Drama,R,19288130.00,32007656.00
Inspector Gadget,23-Jul-99,Comedy,PG,97387965.00,161610341.00
The Sixth Sense,6-Aug-99,Thriller/Suspense,PG-13,293506292.00,485424724.00
The 13th Warrior,27-Aug-99,Action,R,32698899.00,54262148.00
Breakfast of Champions,17-Sep-99,Comedy,R,178287.00,295851.00
Mumford,24-Sep-99,Comedy,R,4559569.00,7566363.00
"Mystery, Alaska",1-Oct-99,Comedy,R,8891623.00,14755189.00
The Straight Story,15-Oct-99,Drama,G,6197866.00,10111144.00
The Insider,5-Nov-99,Drama,R,28965197.00,47794214.00
Toy Story 2,19-Nov-99,Adventure,G,245852179.00,404450426.00
Cradle Will Rock,8-Dec-99,Drama,R,2899970.00,4609153.00
Deuce Bigalow: Male Gigolo,10-Dec-99,Comedy,R,65535067.00,106921374.00
Bicentennial Man,17-Dec-99,Drama,PG,58220776.00,94838225.00
Play it to the Bone,24-Dec-99,Comedy,R,8427204.00,13180524.00
Fantasia 2000 (IMAX),1-Jan-00,Musical,G,60507228.00,94852354.00
Gun Shy,4-Feb-00,Comedy,R,1638202.00,2562155.00
The Tigger Movie,11-Feb-00,Adventure,G,45542421.00,71228678.00
Mission to Mars,10-Mar-00,Adventure,PG,60874615.00,95208344.00
High Fidelity,31-Mar-00,Comedy,R,27277055.00,42661516.00
Keeping the Faith,14-Apr-00,Romantic Comedy,PG-13,37036404.00,57925202.00
Dinosaur,19-May-00,Adventure,PG,137748063.00,215438985.00
Shanghai Noon,26-May-00,Western,PG-13,56932305.00,89042541.00
Gone in 60 Seconds,9-Jun-00,Action,PG-13,101643008.00,158970411.00
Fantasia 2000 (Theatrical Release),16-Jun-00,Musical,G,9103630.00,14238144.00
The Kid,7-Jul-00,Comedy,PG,69688384.00,108993148.00
Coyote Ugly,4-Aug-00,Drama,PG-13,60786269.00,95070168.00
The Crew,25-Aug-00,Comedy,PG-13,13019253.00,20362201.00
Duets,15-Sep-00,Drama,R,4734235.00,7404372.00
Remember the Titans,29-Sep-00,Drama,PG,115654751.00,180742479.00
Unbreakable,22-Nov-00,Thriller/Suspense,PG-13,94999143.00,148208901.00
102 Dalmatians,22-Nov-00,Comedy,G,66941559.00,104055039.00
The Emperor's New Groove,15-Dec-00,Adventure,G,89296573.00,136789252.00
"O Brother, Where Art Thou?",22-Dec-00,Comedy,PG-13,45506619.00,67922002.00
Double Take,12-Jan-01,Action,PG-13,29823162.00,44418589.00
Recess: School's Out,16-Feb-01,Comedy,G,36696761.00,54656124.00
Just Visiting,6-Apr-01,Comedy,PG-13,4777007.00,7114869.00
Pearl Harbor,25-May-01,Action,PG-13,198539855.00,295705112.00
Atlantis: The Lost Empire,8-Jun-01,Adventure,PG,84052762.00,125188122.00
crazy/beautiful,29-Jun-01,Drama,PG-13,16929123.00,25214223.00
The Princess Diaries,3-Aug-01,Comedy,G,108244774.00,161218928.00
Bubble Boy,24-Aug-01,Comedy,PG-13,5002310.00,7450434.00
Max Keeble's Big Move,5-Oct-01,Comedy,PG,17292381.00,25749730.00
Corky Romano,12-Oct-01,Comedy,PG-13,23978402.00,35705805.00
High Heels and Low Lifes,26-Oct-01,,R,226792.00,337782.00
"Monsters, Inc.",2-Nov-01,Adventure,G,289423425.00,416073179.00
Out Cold,21-Nov-01,Comedy,PG-13,13906394.00,20700691.00
The Royal Tenenbaums,14-Dec-01,Black Comedy,R,52353636.00,76758193.00
Beauty and the Beast (IMAX),1-Jan-02,Musical,G,25487028.00,36980311.00
Frank McKlusky C.I.,1-Jan-02,,,0.00,0.00
Snow Dogs,18-Jan-02,Comedy,PG,81150692.00,117745317.00
The Count of Monte Cristo,25-Jan-02,Drama,PG-13,54228104.00,78682079.00
Peter Pan: Return to Neverland,15-Feb-02,Adventure,G,48430258.00,70269715.00
Reign of Fire,19-Feb-02,Action,PG-13,43061982.00,62480631.00
Sorority Boys,22-Mar-02,Comedy,R,10198766.00,14797862.00
The Rookie,29-Mar-02,Drama,G,75600072.00,109691666.00
Big Trouble,5-Apr-02,Comedy,PG-13,7262288.00,10537188.00
ESPN's Ultimate X - The Movie,10-May-02,Documentary,PG,4197175.00,6089874.00
Bad Company,7-Jun-02,Action,PG-13,30157016.00,43756218.00
Lilo & Stitch,21-Jun-02,Adventure,PG,145771527.00,211506702.00
The Country Bears,26-Jul-02,Adventure,G,16988996.00,24650121.00
Signs,2-Aug-02,Thriller/Suspense,PG-13,227965690.00,330754439.00
Sen to Chihiro no Kamikakushi,20-Sep-02,Adventure,PG,10049886.00,14338992.00
Sweet Home Alabama,27-Sep-02,Comedy,PG-13,127214072.00,184521151.00
Moonlight Mile,27-Sep-02,Drama,PG-13,6830957.00,9909094.00
Tuck Everlasting,11-Oct-02,Drama,PG,19161999.00,27789959.00
The Santa Clause 2,1-Nov-02,Comedy,G,139225854.00,201959095.00
Treasure Planet,27-Nov-02,Adventure,PG,38120554.00,55189145.00
The Hot Chick,13-Dec-02,Comedy,PG-13,35081550.00,50624654.00
25th Hour,19-Dec-02,Drama,R,13084595.00,18325463.00
The Recruit,31-Jan-03,Thriller/Suspense,PG-13,52784696.00,73793522.00
Shanghai Knights,7-Feb-03,Adventure,PG-13,60470220.00,84537962.00
The Jungle Book 2,14-Feb-03,Adventure,G,47901582.00,66966883.00
Bringing Down the House,7-Mar-03,Comedy,PG-13,132675402.00,185481530.00
Piglet's Big Movie,21-Mar-03,Comedy,G,23103423.00,32298812.00
Ghosts of the Abyss,11-Apr-03,Documentary,G,17093668.00,23803108.00
Holes,18-Apr-03,Drama,PG,67383924.00,94203395.00
The Lizzie McGuire Movie,2-May-03,Comedy,PG,42734455.00,59743191.00
Finding Nemo,30-May-03,Adventure,G,380529370.00,518148559.00
Pirates of the Caribbean: The Curse o…,9-Jul-03,Adventure,PG-13,305411224.00,426967926.00
Freaky Friday,6-Aug-03,Comedy,PG,110222438.00,154090360.00
Open Range,15-Aug-03,Western,R,58331254.00,81547672.00
Cold Creek Manor,19-Sep-03,Thriller/Suspense,R,21384035.00,29895090.00
Under the Tuscan Sun,26-Sep-03,Comedy,PG-13,43601508.00,60944053.00
Veronica Guerin,17-Oct-03,Drama,R,1569918.00,2194759.00
Brother Bear,24-Oct-03,Adventure,G,85336277.00,119218333.00
The Haunted Mansion,26-Nov-03,Comedy,PG,75817994.00,105775678.00
Calendar Girls,19-Dec-03,Comedy,PG-13,31011616.00,42379650.00
Young Black Stallion,25-Dec-03,Adventure,G,6751389.00,9254344.00
Teacher's Pet: The Movie,16-Jan-04,Comedy,PG,6491969.00,8812764.00
Miracle,6-Feb-04,Drama,PG,64378093.00,87392478.00
Confessions of a Teenage Drama Queen,20-Feb-04,Comedy,PG,29331068.00,39816568.00
Hidalgo,5-Mar-04,Western,PG-13,67286731.00,91340921.00
The Ladykillers,26-Mar-04,Comedy,R,39692139.00,53881593.00
Home on the Range,2-Apr-04,Comedy,PG,50026353.00,67910166.00
The Alamo,9-Apr-04,Western,PG-13,22406362.00,30416359.00
Raising Helen,28-May-04,Comedy,PG-13,37485528.00,50886144.00
Around the World in 80 Days,16-Jun-04,Adventure,PG,24004159.00,32585356.00
America's Heart and Soul,2-Jul-04,Documentary,Not Rated,314000.00,426246.00
King Arthur,7-Jul-04,Adventure,PG-13,51877963.00,70423706.00
The Village,30-Jul-04,Thriller/Suspense,PG-13,114197520.00,155021748.00
The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,95149435.00,129164207.00
Mr. 3000,17-Sep-04,Comedy,PG-13,21800302.00,29593641.00
The Last Shot,24-Sep-04,Comedy,R,463730.00,629502.00
Ladder 49,1-Oct-04,Action,PG-13,74541707.00,101161045.00
The Incredibles,5-Nov-04,Adventure,PG,261441092.00,354488708.00
National Treasure,19-Nov-04,Adventure,PG,173005002.00,234069353.00
The Life Aquatic with Steve Zissou,10-Dec-04,Comedy,R,24006726.00,32198655.00
Aliens of the Deep,28-Jan-05,Documentary,G,8968684.00,11740942.00
Pooh's Heffalump Movie,11-Feb-05,Adventure,G,18098433.00,23801835.00
The Pacifier,4-Mar-05,Comedy,PG,113006880.00,148619029.00
Ice Princess,18-Mar-05,Comedy,G,24381334.00,32064685.00
A Lot Like Love,22-Apr-05,Comedy,PG-13,21835784.00,28716947.00
The Hitchhiker's Guide to the Galaxy,29-Apr-05,Comedy,PG,51019112.00,67096891.00
Hauru no ugoku shiro,10-Jun-05,Adventure,PG,4710455.00,6194870.00
Herbie: Fully Loaded,22-Jun-05,Comedy,G,66010682.00,86812798.00
Dark Water,8-Jul-05,Thriller/Suspense,PG-13,25473093.00,33500491.00
Sky High,29-Jul-05,Adventure,PG,63939454.00,84088854.00
Valiant,19-Aug-05,Adventure,G,19478106.00,25616292.00
Flightplan,23-Sep-05,Thriller/Suspense,PG-13,89706988.00,117960425.00
The Greatest Game Ever Played,30-Sep-05,Drama,PG,15331289.00,20162672.00
Shopgirl,21-Oct-05,Drama,R,10284523.00,13519621.00
Chicken Little,4-Nov-05,Adventure,G,135386665.00,177954661.00
"The Chronicles of Narnia: The Lion, t…",9-Dec-05,Adventure,PG,291710957.00,381557539.00
Casanova,25-Dec-05,Drama,R,11304403.00,14574087.00
Glory Road,13-Jan-06,Drama,PG,42647449.00,54888236.00
Annapolis,27-Jan-06,Drama,PG-13,17127992.00,22044113.00
Roving Mars,27-Jan-06,Documentary,G,10407978.00,12948025.00
Eight Below,17-Feb-06,Adventure,PG,81612565.00,105037235.00
The Shaggy Dog,10-Mar-06,Comedy,PG,61123569.00,78667428.00
Stay Alive,24-Mar-06,Horror,PG-13,23086480.00,29712825.00
The Wild,14-Apr-06,Adventure,G,37384046.00,48114115.00
Stick It,28-Apr-06,Comedy,PG-13,26910736.00,34634731.00
Goal! The Dream Begins,12-May-06,Drama,PG,4283255.00,5512647.00
Cars,9-Jun-06,Comedy,G,244082982.00,314140384.00
Pirates of the Caribbean: Dead Man’…,7-Jul-06,Adventure,PG-13,423315812.00,544817142.00
Step Up,11-Aug-06,Drama,PG-13,65328121.00,84078780.00
Invincible,25-Aug-06,Drama,PG,57806952.00,74398864.00
The Guardian,29-Sep-06,Action,PG-13,55011732.00,70801353.00
The Prestige,20-Oct-06,Thriller/Suspense,PG-13,53089891.00,68289913.00
Tim Burton's The Nightmare Before Chr…,20-Oct-06,Musical,PG,24732041.00,30737517.00
The Santa Clause 3: The Escape Clause,3-Nov-06,Comedy,G,84500122.00,108694869.00
Déjà Vu,22-Nov-06,Thriller/Suspense,PG-13,64038616.00,82267038.00
Apocalypto,8-Dec-06,Adventure,R,50866635.00,64959548.00
Primeval,12-Jan-07,Adventure,R,10597734.00,12985302.00
Bridge to Terabithia,16-Feb-07,Drama,PG,82234139.00,100760721.00
Wild Hogs,2-Mar-07,Comedy,PG-13,168213584.00,206110533.00
Meet the Robinsons,30-Mar-07,Adventure,G,97822171.00,119860589.00
The Lookout,30-Mar-07,Drama,R,4600585.00,5637048.00
The Hoax,6-Apr-07,Drama,R,7164995.00,8779196.00
The Invisible,27-Apr-07,Thriller/Suspense,PG-13,20568319.00,25202168.00
Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,309420425.00,379129960.00
Ratatouille,29-Jun-07,Comedy,G,206445654.00,252955933.00
Underdog,3-Aug-07,Adventure,PG,43760605.00,53619462.00
The Game Plan,22-Sep-07,Comedy,PG,90648202.00,111010758.00
Dan in Real Life,20-Oct-07,Romantic Comedy,PG-13,47642963.00,58350234.00
Enchanted,21-Nov-07,Romantic Comedy,PG,127706877.00,156074310.00
National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,219961501.00,267003525.00
Hannah Montana/Miley Cyrus: Best of B…,1-Feb-08,Concert/Performance,G,65281781.00,76646993.00
Step Up 2 the Streets,14-Feb-08,Drama,PG-13,58017783.00,68118371.00
College Road Trip,7-Mar-08,Comedy,G,45610425.00,53550960.00
The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,141621490.00,166277038.00
WALL-E,27-Jun-08,Adventure,G,223808164.00,262771918.00
Swing Vote,1-Aug-08,Comedy,PG-13,16289867.00,19125841.00
Goal! 2: Living the Dream...,29-Aug-08,Drama,PG-13,225067.00,264247.00
Miracle at St. Anna,26-Sep-08,Drama,R,7916887.00,9295171.00
Beverly Hills Chihuahua,3-Oct-08,Comedy,PG,94514402.00,110932022.00
Morning Light,17-Oct-08,Documentary,PG,275093.00,322979.00
High School Musical 3: Senior Year,24-Oct-08,Musical,G,90559416.00,106308538.00
Bolt,21-Nov-08,Comedy,PG,114053759.00,133702498.00
Bedtime Stories,25-Dec-08,Comedy,PG,110101975.00,128039679.00
Confessions of a Shopaholic,13-Feb-09,Romantic Comedy,PG,44277350.00,49767744.00
Jonas Brothers: The 3D Concert Experi…,27-Feb-09,Concert/Performance,G,38174685.00,38174685.00
Race to Witch Mountain,13-Mar-09,Adventure,PG,67172594.00,75501997.00
Hannah Montana the Movie,10-Apr-09,Drama,G,79576189.00,89443640.00
Earth,22-Apr-09,Documentary,G,32011576.00,35981010.00
Up,29-May-09,Adventure,PG,293004164.00,329336681.00
The Proposal,19-Jun-09,Romantic Comedy,PG-13,163958031.00,184288829.00
G-Force,24-Jul-09,Adventure,PG,119436770.00,134246932.00
Gake no ue no Ponyo,14-Aug-09,Adventure,G,15090399.00,16961607.00
X Games 3D: The Movie,21-Aug-09,Documentary,PG,1391434.00,1563976.00
Walt and El Grupo,10-Sep-09,Documentary,PG,20521.00,23064.00
Surrogates,25-Sep-09,Action,PG-13,38577772.00,43361416.00
Toy Story 3D Double Feature,2-Oct-09,Adventure,G,30702446.00,34509545.00
Disney's A Christmas Carol,6-Nov-09,Drama,PG,137855863.00,154927105.00
The Princess and the Frog,25-Nov-09,Adventure,G,104400899.00,116316457.00
Old Dogs,25-Nov-09,Comedy,PG,49492060.00,55503929.00
When in Rome,29-Jan-10,Romantic Comedy,PG-13,32680633.00,34917330.00
Alice in Wonderland,5-Mar-10,Adventure,PG,334191110.00,357063499.00
Waking Sleeping Beauty,26-Mar-10,Documentary,PG,80741.00,86264.00
The Last Song,31-Mar-10,Drama,PG,62950384.00,67258772.00
Oceans,22-Apr-10,Documentary,G,19422319.00,20751600.00
Prince of Persia: Sands of Time,28-May-10,Action,PG-13,90759676.00,96971361.00
Toy Story 3,18-Jun-10,Adventure,G,415004880.00,443408255.00
The Sorcerer's Apprentice,14-Jul-10,Adventure,PG,63150991.00,67473105.00
Step Up 3D,6-Aug-10,Drama,PG-13,42400223.00,45302137.00
Gedo Senki (Tales from Earthsea),13-Aug-10,Adventure,PG-13,48658.00,51988.00
You Again,24-Sep-10,Comedy,PG,25702053.00,27461121.00
Secretariat,8-Oct-10,Drama,PG,59699513.00,63781920.00
Tangled,24-Nov-10,Adventure,PG,200821936.00,214388548.00
Tron: Legacy,17-Dec-10,Adventure,PG,172062763.00,183619259.00
Gnomeo and Juliet,11-Feb-11,Comedy,G,99967670.00,106270797.00
I am Number Four,18-Feb-11,Adventure,PG-13,55100437.00,58574607.00
Mars Needs Moms,11-Mar-11,Adventure,PG,21392758.00,22741603.00
African Cats,22-Apr-11,Documentary,G,15428747.00,16401551.00
Zokkomon,22-Apr-11,Adventure,PG,2815.00,2984.00
Prom,29-Apr-11,Comedy,PG,10130219.00,10768946.00
Pirates of the Caribbean: On Stranger…,20-May-11,Adventure,PG-13,241063875.00,256263359.00
Cars 2,24-Jun-11,Adventure,G,191450875.00,203522177.00
Winnie the Pooh,15-Jul-11,Adventure,G,26692846.00,28375869.00
The Help,10-Aug-11,Drama,PG-13,169705587.00,180404976.00
Fright Night,19-Aug-11,Horror,R,18298649.00,19452402.00
Real Steel,7-Oct-11,Action,PG-13,85463309.00,90848019.00
The Muppets,23-Nov-11,Comedy,PG,88625922.00,94189503.00
War Horse,25-Dec-11,Drama,PG-13,79883359.00,84762149.00
The Secret World of Arietty,17-Feb-12,Adventure,G,19192510.00,20325733.00
John Carter,9-Mar-12,Adventure,PG-13,73058679.00,77372445.00
Chimpanzee,20-Apr-12,Documentary,G,28965459.00,30675725.00
The Avengers,4-May-12,Action,PG-13,623279547.00,660081224.00
Brave,22-Jun-12,Adventure,PG,237282182.00,251292441.00
People Like Us,29-Jun-12,Drama,PG-13,12431792.00,13165822.00
The Odd Life of Timothy Green,15-Aug-12,Drama,PG,51853450.00,54914942.00
Frankenweenie,5-Oct-12,Comedy,PG,35287788.00,37363513.00
Wreck-It Ralph,2-Nov-12,Adventure,PG,189412677.00,200354959.00
Lincoln,9-Nov-12,Drama,PG-13,182207973.00,192122330.00
Oz the Great and Powerful,8-Mar-13,Adventure,PG,234770996.00,243434130.00
Iron Man 3,3-May-13,Action,PG-13,408992272.00,424084233.00
Monsters University,21-Jun-13,Adventure,G,268488329.00,278395641.00
The Lone Ranger,2-Jul-13,Western,PG-13,89302115.00,92597388.00
Disney Planes,9-Aug-13,Comedy,PG,90282580.00,93614037.00
The Fifth Estate,18-Oct-13,Drama,R,3254172.00,3374251.00
Thor: The Dark World,8-Nov-13,Adventure,PG-13,206362140.00,213962184.00
Kaze Tachinu,8-Nov-13,Drama,PG-13,5201879.00,5367415.00
Frozen,22-Nov-13,Adventure,PG,400738009.00,414997174.00
Delivery Man,22-Nov-13,Comedy,PG-13,30659817.00,31787136.00
Saving Mr. Banks,13-Dec-13,Drama,PG-13,83299761.00,86249969.00
Need for Speed,14-Mar-14,Action,PG-13,43568507.00,44955015.00
Muppets Most Wanted,21-Mar-14,Comedy,PG,51178893.00,52807594.00
Captain America: The Winter Soldier,4-Apr-14,Action,PG-13,259746958.00,268013076.00
Bears,18-Apr-14,Documentary,G,17780194.00,18346024.00
Million Dollar Arm,10-May-14,Drama,PG,36447959.00,37607865.00
Maleficent,30-May-14,Adventure,PG,241407328.00,249089809.00
Planes: Fire and Rescue,18-Jul-14,Adventure,PG,59157732.00,61040349.00
Guardians of the Galaxy,1-Aug-14,Adventure,PG-13,333172112.00,343771168.00
The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,54235441.00,55961409.00
"Alexander and the Terrible, Horrible,…",10-Oct-14,Comedy,PG,66954149.00,69055550.00
Big Hero 6,7-Nov-14,Adventure,PG,222527828.00,229249222.00
Into the Woods,25-Dec-14,Musical,PG,128002372.00,130894237.00
Strange Magic,23-Jan-15,Adventure,PG,12429583.00,12429583.00
"McFarland, USA",20-Feb-15,Drama,PG,44480275.00,44480275.00
Cinderella,13-Mar-15,Drama,PG,201151353.00,201151353.00
Monkey Kingdom,17-Apr-15,Documentary,G,16432322.00,16432322.00
Avengers: Age of Ultron,1-May-15,Action,PG-13,459005868.00,459005868.00
Tomorrowland,22-May-15,Adventure,PG,93436322.00,93436322.00
Inside Out,19-Jun-15,Adventure,PG,356461711.00,356461711.00
Ant-Man,17-Jul-15,Action,PG-13,180202163.00,180202163.00
Bridge of Spies,16-Oct-15,Thriller/Suspense,PG-13,72313754.00,72313754.00
The Good Dinosaur,25-Nov-15,Adventure,PG,123087120.00,123087120.00
Star Wars Ep. VII: The Force Awakens,18-Dec-15,Adventure,PG-13,936662225.00,936662225.00
The Finest Hours,29-Jan-16,Thriller/Suspense,PG,27569558.00,27569558.00
Zootopia,4-Mar-16,Adventure,PG,341268248.00,341268248.00
The Jungle Book,15-Apr-16,Adventure,PG,364001123.00,364001123.00
A Beautiful Planet,29-Apr-16,Documentary,G,7895708.00,7895708.00
Captain America: Civil War,6-May-16,Action,PG-13,408084349.00,408084349.00
Alice Through the Looking Glass,27-May-16,Adventure,PG,77042381.00,77042381.00
Finding Dory,17-Jun-16,Adventure,PG,486295561.00,486295561.00
The BFG,1-Jul-16,Adventure,PG,55483770.00,55483770.00
Pete’s Dragon,12-Aug-16,Adventure,PG,76233151.00,76233151.00
The Light Between Oceans,2-Sep-16,Drama,PG-13,12545979.00,12545979.00
Queen of Katwe,23-Sep-16,Drama,PG,8874389.00,8874389.00
Doctor Strange,4-Nov-16,Adventure,PG-13,232532923.00,232532923.00
Moana,23-Nov-16,Adventure,PG,246082029.00,246082029.00
Rogue One: A Star Wars Story,16-Dec-16,Adventure,PG-13,529483936.00,529483936.00